IDResposta;CDInstalacaoPortuaria;Instalação;NOAvaliacao;NOTituloIndicadorEspecificoQuestionario;NRPeso;NOAtributoQuestionario
4981;"208    ";Terminal da Ilha Guaíba - TIG;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
10382;"171    ";Terminal Aquaviário de Osório;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
11347;"134    ";Terminal Aquaviário de São Sebastião (Almirante Barroso);2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
12133;"184    ";Terminal Aquaviário de Aracaju;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
12351;"195    ";Porto Engenheiro Zephyrino Lavanère Machado Filho;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
12701;"145    ";Terminal Aquaviário de Madre de Deus;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
5349;"372    ";Estaleiro Jurong;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
6054;"149    ";Terminal Marítimo de Ponta da Madeira;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
7400;"158    ";Terminal Aquaviário de São Francisco do Sul;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
8507;"152    ";Terminal de Tubarão;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
8630;"167    ";Terminal de Praia Mole;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
9739;"164    ";Terminal Aquaviário de Niterói;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
489;"226    ";Porto Itapoá Terminais Portuários;2015.2;Prevenção de Riscos;13,15768092;N5
895;"228    ";DP World Santos;2015.2;Prevenção de Riscos;13,15768092;N5
2237;"203    ";Terminal Marítimo Dow Aratu - Bahia;2015.2;Prevenção de Riscos;13,15768092;N5
2640;"235    ";Sucocítrico Cutrale;2015.2;Prevenção de Riscos;13,15768092;N5
2967;"205    ";Cattalini Terminais Marítimos;2015.2;Prevenção de Riscos;13,15768092;N5
3892;"284    ";Oleoplan;2015.2;Prevenção de Riscos;13,15768092;N5
12570;"286    ";NULL;2015.2;Prevenção de Riscos;13,15768092;N5
13100;"145    ";Terminal Aquaviário de Madre de Deus;2015.2;Prevenção de Riscos;13,15768092;N5
13203;"236    ";Cosan Lubrificantes e Especialidades;2015.2;Prevenção de Riscos;13,15768092;N5
10917;"200    ";Trocadeiro;2015.2;Prevenção de Riscos;13,15768092;N5
11348;"134    ";Terminal Aquaviário de São Sebastião (Almirante Barroso);2015.2;Prevenção de Riscos;13,15768092;N5
11481;"332    ";Terminal de Regaiseficação de GNL da Bahia - TRBA;2015.2;Prevenção de Riscos;13,15768092;N5
11661;"271    ";Terminal Flexível de GNL da Baía da Guanabara;2015.2;Prevenção de Riscos;13,15768092;N5
