IDTerminal;NOTerminal
933;IP4 de Codajás
934;IP4 de Eirunepê
935;IP4 de Fonte Boa
936;IP4 de Guajará
937;IP4 de Humaitá
938;Pontão Bons Amigos
939;Pontão L J
940;Pontão Quadros Filho
941;Terminal Hidroviário de Cargas e Passageiros de Terra Santa
942;IP4 de Ipixuna
943;IP4 de Iranduba
945;IP4 de Itamarati
946;IP4 de Itapiranga
947;IP4 de Manacapuru 
948;IP4 de Manaquiri
949;IP4 de Manicoré
950;IP4 de Maués
951;IP4 de Nhamundá
952;IP4 de Nova Olinda
953;IP4 de Novo Airão
954;IP4 de Novo Aripuanã
955;IP4 de Parintins
956;IP4 de Cai N' água (Porto Velho)
957;IP4 de Santa Isabel do Rio Negro
958;IP4 de São Raimundo 
959;IP4 de São Sebastião do Uatumã
960;IP4 de São Paulo de Olivença
962;IP4 de Tapauá
963;IP4 de Tonantins
964;IP4 de Urucará
965;IP4 de Urucurituba
966;Terminal Hidroviário de Passageiros e Cargas de Faro
967;Itaipava - Manaus
968;Terminal Hidroviário de Prainha/PA
969;Terminal Hidroviários de Cargas e Passageiros de Santarém
970;Porto da Prainha
971;Marina do Gelson
972;Navemestra Serviços de Navegação Ltda
973;Porto R S Lima
974;Porto Olinda
975;ERAM ESTALEIRO RIO AMAZONAS
976;EASA-ESTALEIROS AMAZÔNIA S.A.
977;Porto Linave
978;Porto de Apoio Madeiras Santa Maria
979;Porto NL
980;Porto Silnave Belém
981;Porto Macacaúba
982;Porto Santa Maria
983;Norte Marine
984;Porto Gelo Friomar
985;Instalação de Apoio ao Transporte Aquaviário SC Carvalho
986;Terminal de Uso Privado de Macau
987;TERMINAL DE MACAPA
988;Tup da Salina Francisco Menescal
989;Terminal de Matérias Primas
990;Balsa Cuiabá
992;Mar Azul
993;Potassio do Brasil
994;Porto de Pindobal
995;Rampa Samal
996;Terminal Hidroviário de Cargas e Passageiros de Almeirim
997;Terminal de Munguba
998;Base de Oriximiná - BARIX
999;ETC Brasil Amarras
1000;TUP ANGRA DIESEL
1002;Rampa de Acesso Cigana
1003;Nova Era Industria Comércio Exportação de Madeira Ltda - ME
1004;Terminal Hidroviário de Passageiros e Cargas de Alenquer
1005;PROMAP - PRODUTOS DE MADEIRA DO PARA LTDA
1006;ABI Miritituba
1007;Administradora de Bens de Infraestrutura Ltda. - ABI
1008;Porto Jiquiriqui
1010;Trapiche de Icoaraci
1011;SAGA REBOCADORES & SERVICOS MARITIMOS LTDA
1012;Navegação Cunha Ltda.
1013;ERAM - Estaleiro Rio Amazonas
1014;Terminal Hidroviário da Praça Princesa Isabel
1015;Terminal Hidroviário de Laranjal do Jarí
1017;Associação das Comunidades Remanescentes de Quilombos Gurupá
1018;Tapajós Administração Portuária Ltda
1019;Hidrovia Tapajos II
1020;Terminal Dome
1021;Hidrovia Tapajos III
1022;Estaleiro Oxnaval
1023;Rio Doce Madeiras Ltda
1024;TECHNIP BRASIL ENGENHARIA INSTALACOES E APOIO MARITIMO
1025;Mac Laren Operações Offshore
1026;Merlim
1027;Petróleo Sabbá - Terminal Manaus
1028;Atem's Distribuidora de Petróleo
1029;Porto Afonso
1030;Rampa de acesso da empresa Madeireira J & Y Ltda.
1031;Instalação Portuária para Transbordo de Combustível
1032;JDS Turismo
1033;Brasbunker São Gonçalo
1034;CODEPE
1035;Rampa de Apoio Atividade de Pequeno Porte
1036;Navegação Mady
1037;Rampa de Acesso para Carga e Descarga
1038;Bertolini Paragominas
1039;Hidroviário Erlonav
1040;Instalação F DE ASSIS
1041;TUP COFCO
1042;F. J. DA C. S. DE LIMA
1043;GC DE SOUZA E CIA LTDA
